Freq [Hz]       dBSPL           Phase [Deg]
20.00           58.57           -128.06
20.56           58.13           -131.98
21.13           57.75           -134.60
21.71           57.44           -135.66
22.32           57.22           -135.08
22.94           56.54           -135.51
23.58           56.13           -132.74
24.23           56.18           -126.35
24.90           56.73           -116.78
25.60           57.68           -104.89
26.31           58.86           -91.99
27.04           60.11           -79.90
27.79           61.29           -70.47
28.56           62.35           -65.28
29.36           63.27           -65.51
30.17           64.07           -71.90
31.01           64.76           -84.66
31.87           65.36           -103.34
32.76           65.90           -126.93
33.67           66.43           -154.10
34.61           67.00           176.47
35.57           67.71           145.79
36.56           68.67           114.40
37.57           70.02           82.37
38.62           71.84           49.56
39.69           74.12           15.97
40.79           76.65           -18.10
41.93           79.16           -51.70
43.09           81.37           -83.00
44.29           83.14           -110.14
45.52           84.48           -132.03
46.79           85.46           -148.54
48.09           86.15           -160.80
49.42           86.62           -170.88
50.80           86.89           179.73
52.21           86.96           170.40
53.66           86.81           161.47
55.15           86.46           153.46
56.69           85.97           146.53
58.26           85.50           140.47
59.88           85.30           135.18
61.54           85.73           131.85
63.26           86.86           131.88
65.01           88.25           136.03
66.82           89.54           143.41
68.68           90.71           151.58
70.59           91.90           158.53
72.55           93.15           163.60
74.57           94.38           167.78
76.64           95.45           172.51
78.77           96.33           178.58
80.96           97.09           -174.04
83.21           97.83           -165.86
85.52           98.55           -157.29
87.90           99.23           -148.43
90.34           99.80           -139.01
92.85           100.22          -128.69
95.43           100.54          -117.23
98.08           100.82          -104.57
100.81          101.09          -90.79
103.61          101.31          -76.06
106.49          101.50          -60.32
109.45          101.69          -43.36
112.49          101.91          -25.34
115.62          102.12          -6.62
118.84          102.31          12.79
122.14          102.43          32.90
125.53          102.48          53.70
129.02          102.44          75.65
132.61          102.30          99.01
136.29          102.08          123.54
140.08          101.81          149.42
143.98          101.52          176.99
147.98          101.20          -153.94
152.09          100.90          -123.57
156.32          100.59          -91.84
160.66          100.27          -58.63
165.13          100.04          -23.93
169.72          99.88           12.40
174.44          99.69           50.43
179.28          99.46           89.81
184.27          99.26           130.81
189.39          99.16           173.43
194.65          99.16           -142.90
200.06          99.23           -98.21
205.62          99.31           -52.80
211.34          99.26           -6.65
217.21          99.14           41.46
223.25          99.15           90.80
229.46          99.16           142.22
235.83          98.91           -165.59
242.39          98.55           -111.44
249.12          98.13           -55.16
256.05          97.74           3.70
263.17          97.48           64.83
270.48          97.38           127.24
278.00          97.18           -168.80
285.73          96.59           -103.42
293.67          96.36           -34.92
301.83          96.20           35.77
310.22          96.06           107.50
318.84          96.03           179.89
327.70          95.70           -103.40
336.81          95.39           -24.47
346.17          95.02           56.95
355.80          94.62           141.51
365.68          94.42           -131.42
375.85          94.21           -43.44
386.29          93.81           46.50
397.03          93.06           140.16
408.07          92.63           -125.34
419.41          92.24           -23.54
431.07          91.70           81.03
443.05          91.31           -169.50
455.36          90.81           -60.24
468.02          89.71           54.89
481.03          88.85           177.70
494.40          89.71           -53.89
508.14          90.56           75.96
522.26          91.40           -157.08
536.78          92.01           -27.46
551.70          92.51           103.27
567.03          92.77           -123.51
582.79          92.84           15.47
598.99          93.11           154.26
615.64          92.87           -63.72
632.75          92.49           82.90
650.34          91.94           -124.32
668.42          91.28           36.09
686.99          90.96           -160.00
706.09          90.21           10.43
725.71          90.09           -174.48
745.89          90.11           5.20
766.62          90.15           -172.94
787.93          89.87           12.10
809.83          89.46           -154.27
832.33          89.14           45.84
855.47          88.54           -106.27
879.25          88.15           108.01
903.68          87.42           -32.26
928.80          86.58           -163.18
954.62          84.93           71.95
981.15          85.07           -38.78
1008.42         86.40           -146.54
1036.45         87.31           106.37
1065.26         87.51           8.50
1094.87         88.06           -82.36
1125.30         89.59           -166.27
1156.58         91.09           111.77
1188.72         92.21           36.77
1221.76         92.48           -41.85
1255.72         92.15           -104.69
1290.62         91.85           -152.31
1326.50         91.80           166.34
1363.37         91.55           132.09
1401.26         91.19           109.79
1440.21         89.83           99.81
1480.24         87.79           104.93
